"RAZON_SOCIAL";"REGION_OTROS";"REGION_CF";"REGION_BSAS";"REGION_DESCONOCIDO";"REGION_CBA";"PROD_DATOS_RPV";"PROD_INTER_DEDICADO";"PROD_DATOS_ENLACE";"PROD_DATOS_LAN_TO_LAN";"PROD_SD_WAN";"MERC_OTROS";"MERC_CORPORATIVO";"MERC_EMPRESAS";"MERC_GRANDES_CLIENTES";"MERC_PYMES";"CANT_PRODUCTOS";"CANT_ENLACES";"FACTURACION_ARS";"DURACION_CLIENTE_DIAS";"INCIDENTES";"TMR"
"GLOBAL VALORES S.A.";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"516000";"2848";"2";"54,75"
"GLOBAL VISUM S.A.";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"734400";"4711";"38";"53,32"
"GLOBALLOGIC ARGENTINA S.R.L.";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"2";"2";"78000";"4882";"38";"343,98"
"GMIS SA";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"364800";"1956";"8";"34,01"
"GMRA S.A.";"0";"1";"0";"0";"0";"0";"10";"0";"0";"0";"0";"1";"0";"0";"0";"1";"10";"8820000";"765";"19";"17,09"
"GO ITR S.A.";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"384000";"977";"0";"0"
"GOBBI NOVAG S.A.";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"1";"2";"840000";"469";"9";"43,03"
"GOBIERNO DE LA CIUDAD DE BUENO";"0";"1";"0";"0";"0";"2";"2";"1";"3";"0";"1";"0";"0";"0";"0";"4";"8";"1382512,8";"780";"164";"57,92"
"GOBIERNO DE LA PROVINCIA DE LA";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"1";"3";"1152550";"2061";"9";"16,11"
"GOBIERNO DE LA PROVINCIA DE SAN JUAN - M";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"2";"0";"5057";"16";"111,5"
"GOCUOTAS";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"287280";"627";"0";"0"
"GODEL QUILMES S.A.";"0";"0";"1";"0";"0";"4";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"4";"3360000";"3518";"20";"71,65"
"GOMEZ ROCO Y CIA SRL";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"336000";"2285";"17";"28,09"
"GONAR AUTOMOTORES SA";"1";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"1";"0";"0";"0";"2";"3";"1510800";"2691";"80";"129,46"
"GOOGLE ARGENTINA S.R.L.";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"2";"0";"4550";"49";"57,84"
"GRAMIT S A";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"2";"2";"0";"4039";"152";"30,94"
"GRANAR SA COMERCIAL L Y F";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"396000";"1756";"2";"3,25"
"GRANDOTE S.R.L";"0";"1";"0";"0";"0";"1";"3";"0";"0";"0";"0";"0";"1";"0";"0";"2";"4";"2700000";"1452";"18";"134,98"
"GRANJA TRES ARROYOS S.A.";"0";"1";"0";"0";"0";"0";"5";"1";"0";"0";"0";"0";"0";"1";"0";"2";"6";"5616000";"874";"48";"37,44"
"GRANOTEC ARGENTINA SA";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"1653600";"1476";"8";"17,42"
"GRAPE SA";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"1";"2";"2388000";"445";"26";"40,43"
"GRASSI S.A.";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"2";"2";"831600";"3198";"16";"93,8"
"GREGORUTTI Y ASOCIADOS SA";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"420000";"1222";"10";"14,2"
"GREIF ARGENTINA SA";"0";"0";"1";"0";"0";"1";"2";"0";"0";"1";"0";"1";"0";"0";"0";"3";"4";"1104000";"1041";"21";"864,03"
"GREY ARGENTINA S.A";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"1500000";"5995";"30";"31,01"
"GRIFERIA RODDEX SA";"0";"0";"1";"0";"0";"0";"3";"0";"1";"0";"0";"0";"1";"0";"0";"2";"4";"3180000";"618";"48";"21,96"
"GRIMOLDI SOCIEDAD ANONIMA";"1";"0";"0";"0";"0";"4";"6";"0";"0";"0";"0";"1";"0";"0";"0";"2";"10";"6786000";"1032";"282";"113,42"
"GRIT SA";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"146400";"45";"2";"74,04"
"GROUP OF PRIVATE SECURITR SRL";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"428400";"1084";"3";"1,22"
"GRUAS TORRE SA";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"265200";"1672";"11";"11,56"
"GRUPO A 1 SRL";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"655200";"613";"0";"0"
"GRUPO ALMAR SRL";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"876000";"5268";"304";"42,4"
"GRUPO CLARIN SA";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"1200000";"3321";"0";"0"
"GRUPO COLONIA SRL";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"600000";"2064";"16";"12,59"
"GRUPO ESTUDIO GB SRL";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"270000";"1929";"1";"27,16"
"GRUPO GAMMA SOCIEDAD ANONIMA";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"678720";"433";"4";"8,53"
"GRUPO ILHSA S.A.";"0";"1";"0";"0";"0";"0";"7";"0";"0";"0";"0";"1";"0";"0";"0";"1";"7";"2652480";"644";"41";"32,05"
"GRUPO INVENTIVA SACI";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"96000";"32";"0";"0"
"GRUPO MSA S.A.";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"2";"2";"618000";"1365";"40";"111,58"
"GRUPO NACION S.A.";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"2";"0";"1524";"0";"0"
"GRUPO NUCLEO S.A.";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"2";"2";"630000";"1011";"4";"4,54"
"GRUPO OROÑO AGRUPACION DE COLABORACION E";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"403200";"510";"8";"9,32"
"GRUPO PEÑAFLOR SA";"0";"1";"0";"0";"0";"0";"8";"0";"1";"0";"0";"1";"0";"0";"0";"2";"9";"7518000";"2968";"162";"109,36"
"GRUPO PROVINCIA S.A.";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"6437";"69";"54,24"
"GRUPO SERVICIOS JUNIN S.A.";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"3403200";"1524";"11";"17,13"
"GRUPO SLI SRL";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"364800";"1222";"25";"19,88"
"GRUPO STANDARD MAS S.A.";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"391";"1";"3,11"
"GSA COLLECTIONS ARGENTINA S. A";"0";"0";"1";"0";"0";"2";"1";"0";"0";"0";"0";"1";"0";"0";"0";"2";"3";"420000";"689";"98";"80,36"
"GSR E.A.S.";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"53160";"406";"0";"0"
"GUABI S.A.S.";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"2880000";"1146";"16";"25,87"
"GUAMAFLO SA";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"1";"2";"740400";"433";"1";"7,32"
"GUEDIKIAN IMPRESORES SA";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"600000";"3336";"12";"22,57"
"GUERRINI NEUMATIC0S SA";"1";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"1";"0";"2";"3";"1836000";"5452";"122";"124,68"
"GUIALEMAR SRL";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"329";"0";"0"
"GUILLERMO SIMONE S A C I F Y A";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"2";"2";"0";"833";"4";"4,32"
"GYC COMUNICACIONES SA";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"1796";"15";"44,31"
"HACKETT SA";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"324000";"249";"1";"1,01"
"HALLIBURTON ARGENTINA SOCIEDAD DE RESPON";"1";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"1";"0";"0";"0";"1";"5";"5364000";"959";"139";"38,61"
"HANSEATICA COMPAÑÍA DE SEGUROS";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"714000";"811";"0";"0"
"HARAS LOS CERROS SA";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"546000";"1626";"3";"9,39"
"HARAS SAN BENITO S. A";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"420000";"1490";"0";"0"
"HASAR SERVICIOS SRL";"0";"1";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"1";"0";"2";"4";"1706400";"4849";"106";"244,06"
"HAVAS MEDIA ARGENTINA S.A.";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"2";"2";"0";"6222";"56";"16,14"
"HAWK TRACKER S.A.";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"2";"450000";"3170";"10";"9,11"
"HCA S.A.";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"1";"2";"2100000";"2230";"7";"14,1"
"HDC INTERNATIONAL SA";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"1354";"7";"19,43"
"HECTOR A. NUÑEZ Y CIA SRL";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"268800";"1448";"3";"7,47"
"HELIOS SALUD SA";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"420000";"278";"0";"0"
"HELLERMANN TYTON S.R.L.";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"2";"2";"882000";"3315";"42";"92,28"
"HELLMANN  WORLDWIDE SA";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"882000";"69";"7";"29,72"
"HEMPEL ARGENTINA SRL";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"1780800";"4672";"41";"68,48"
"HENDEL HOGAR SA";"0";"0";"1";"0";"0";"0";"1";"0";"0";"35";"0";"1";"0";"0";"0";"2";"36";"8875200";"3248";"38";"65,08"
"HENKEL ARGENTINA SA";"0";"0";"1";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"1";"0";"2";"3";"1074000";"1726";"54";"103,92"
"HERBALIFE INTERNATIONAL ARGENTINA S A";"0";"1";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"1";"0";"2";"3";"0";"678";"48";"99,34"
"HEWLETT-PACKARD ARGENTINA SRL";"0";"1";"0";"0";"0";"6";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"6";"0";"3482";"35";"40,62"
"HEXACTA S.A.";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"2244000";"5046";"34";"13"
"HIDECO S.A.";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"2";"2";"384000";"4809";"26";"30,18"
"HIERRONORT S.R.L.";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1";"1";"3";"567840";"920";"14";"26,63"
"HIERROS INDUSTRIAL SA";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"319200";"984";"1";"0,76"
"HIERROS LIDER SA";"0";"1";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"1";"0";"0";"1";"3";"1419120";"425";"25";"111,64"
"HINCK SA";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"141120";"661";"2";"25,52"
"HIPERBAIRES SRL";"0";"1";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"1";"0";"0";"2";"3";"1614000";"1432";"70";"77,7"
"HIPERCERAMICO SAIYC";"1";"0";"0";"0";"0";"0";"1";"0";"0";"4";"0";"0";"1";"0";"0";"2";"5";"1473350";"908";"14";"14,16"
"HIPODROMO ARGENTINO DE PALERMO";"0";"1";"0";"0";"0";"0";"3";"0";"0";"0";"0";"1";"0";"0";"0";"1";"3";"9696000";"1041";"33";"44,85"
"HITACHI DATA SYSTEMS S.A.";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"1596";"5";"11,7"
"HITECNO SA";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"210000";"599";"3";"28,14"
"HOERBIGER DE ARGENTINA SA";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"1428000";"544";"3";"9,77"
"HOLCIM (ARGENTINA) S.A";"0";"0";"0";"0";"1";"0";"9";"0";"0";"0";"0";"1";"0";"0";"0";"1";"9";"4990800";"1012";"40";"144,3"
"HOLISTOR S.A.";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"1080000";"1733";"6";"2,15"
"HOLLIDAY SCOTT SA";"0";"0";"1";"0";"0";"1";"2";"0";"0";"0";"0";"0";"1";"0";"0";"2";"3";"1482000";"3022";"36";"41,96"
"HOMAQ SA";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"5726";"0";"0"
"HONDA MOTOR DE ARG. S.AOC 4500100595";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"1";"2";"2839200";"5164";"106";"43,28"
"HONEYWELL S A I C";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"390000";"4121";"68";"123,87"
"HONORABLE CAMARA DE SENADORES";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"243001,65";"1656";"10";"104,81"
"HONORABLE SENADO DE LA NACION";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"2";"0";"287";"4";"73,16"
"HORACIO  PUSSETO    SAHORACIO  PUSSETO";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"810000";"4613";"28";"47,51"
"HORCRISA SA";"0";"0";"1";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"1";"0";"1";"3";"1055160";"1041";"17";"48,75"
"HORIZON HIGH REACH LIMITED";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"1020000";"5124";"28";"28,94"
"HOSP PRIV TRES CERRITOS SRL";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"1621";"10";"15,7"
"HOSP.BALDOMERO SOMMER";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"2";"2";"104307,44";"1749";"72";"42,16"
"HOSPITAL ALEMAN ASOC CIVIL";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"1";"2";"2196000";"1496";"10";"31,39"
"HOSPITAL DE PEDIATRIA SAMIC ""PROFESOR DR";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"406";"1";"5,68"
"HOSPITAL DEL BICENTENARIO ESTEBAN ECHEVE";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"282360";"13";"0";"0"
"HOSPITAL DR A OÑATIVIA";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"261580";"130";"0";"0"
"HOSPITAL NACIONAL EN RED ESPECIALIZADO E";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"18666";"6745";"29";"26,18"
"HOSPITAL PRIVADO CENTRO MEDICODE CORDOBA";"0";"0";"0";"0";"1";"1";"6";"0";"1";"0";"0";"0";"0";"1";"0";"3";"8";"6636000";"2152";"162";"125,13"
"HOSPITAL SAN BERNARDO";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"2";"2";"529900";"468";"6";"503,5"
"HOTEL POTRERO DE LOS FUNES";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"2";"0";"797";"3";"33,33"
"HOTELERA DEL LAGO S.A";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"2453";"0";"0"
"HOYTS GENERAL CINEMA DE ARG.";"0";"1";"0";"0";"0";"12";"1";"0";"0";"0";"0";"1";"0";"0";"0";"2";"13";"6072000";"5178";"242";"29,52"
"HSBC BANK ARGENTINA S A";"0";"1";"0";"0";"0";"276";"85";"12";"8";"81";"0";"1";"0";"0";"0";"5";"462";"221689200";"2056";"17810";"228,2"
"HUAWEI TECH INVESTMENT CO LTD";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"2";"2";"540000";"5458";"0";"0"
"HUENEI CONSULTORA INFORMATICA";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"1";"2";"1773600";"810";"10";"15,16"
"HUINOIL S.A";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"714000";"1867";"5";"9,42"
"HUNTER DOUGLAS ARGENTINA S.A";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"2";"2";"1500000";"1523";"22";"32,56"
"HYDAC TECHNOLOGY ARGENTINA S.R.L.";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"384000";"1145";"12";"37,09"
"HYDRO EXTRUSION ARGENTINA S A";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"600000";"1427";"3";"35,8"
"Homecenter Sodimac Sa";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"4536000";"605";"0";"0"
"I 2 T S.A.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"1";"2";"52000";"283";"4";"60,28"
"I S V A S.A";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"732000";"3814";"21";"11,03"
"IARAI SA";"0";"1";"0";"0";"0";"1";"8";"0";"0";"0";"0";"0";"0";"1";"0";"2";"9";"2546400";"4226";"154";"101,82"
"IBERO ASISTENCIA SA";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"1243";"27";"57,87"
"IBM ARGENTINA S.R.L";"0";"1";"0";"0";"0";"6";"1";"0";"0";"0";"0";"1";"0";"0";"0";"2";"7";"1197600";"3113";"78";"63,7"
"ICOM S.R.L.";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"1531";"0";"0"
"IDT CORPORATION DE ARGENTINA S.A.";"0";"1";"0";"0";"0";"0";"0";"9";"0";"0";"1";"0";"0";"0";"0";"1";"9";"0";"6234";"0";"0"
"IFES SRL";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"620400";"2884";"2";"48,91"
"IFX NETWORKS ARGENTINA SRL";"0";"1";"0";"0";"0";"3";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"3";"0";"4788";"91";"16,61"
"IGARRETA MAQUINAS SA";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"840000";"2601";"4";"7,24"
"IGARRETA S A C I";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"1";"2";"741120";"461";"5";"51,8"
"IGSABEGA SA";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"2";"2";"240000";"749";"24";"64,96"
"IGT 33 S.A.";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"257040";"608";"3";"125,58"
"IGT ARGENTINA S.A.";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"1";"2";"978000";"32";"2";"117,76"
"IGT FOREIGN HOLDINGS CORPORATION";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"2";"2";"978000";"139";"90";"58,64"
"IKE ASISTENCIA ARGENTINA S.A.";"0";"1";"0";"0";"0";"8";"0";"1";"0";"0";"0";"1";"0";"0";"0";"2";"9";"420000";"853";"416";"105,56"
"ILKO ARGENTINA SA";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"882000";"815";"10";"17,22"
"ILVA SA";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"5478";"6";"77,76"
"IMAP PET S.A.";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"118";"1";"17,18"
"IMBERA ARGENTINA SA";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"2497";"12";"7,84"
"IMERYS MINERALES ARGENTINA S.A";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"600000";"1529";"27";"89,88"
"IMOC SRL";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"406";"0";"0"
"IMP ASSIST S.A.";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"2";"2";"420000";"1600";"26";"42,16"
"IMPORTADORA SUDAMERICANA SRL.";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"660000";"3090";"4";"8,28"
"IMPREBA SA";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"324000";"171";"20";"91,92"
"IMPRESORA INTERNACIONAL DE VALORES SAIC";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"2";"2";"2100000";"3162";"120";"169,18"
"IMPRIPOST TECNOLOGIAS S.A.";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"831600";"1888";"8";"7,93"
"IMPRONTA SOLUTIONS SA";"0";"1";"0";"0";"0";"4";"2";"0";"0";"0";"0";"0";"1";"0";"0";"2";"6";"1987008";"2957";"66";"114,88"
"IMPULSA MENDOZA";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"450000";"490";"0";"0"
"IMS ARGENTINA S.R.L.";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"672000";"475";"5";"39,78"
"IN ARCH S.R.L";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"235200";"627";"0";"0"
"INC S.A.";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"2";"0";"1679";"113";"98,72"
"IND METALURG SUD AMERICANA SA";"0";"0";"1";"0";"0";"3";"2";"0";"0";"0";"0";"0";"0";"1";"0";"2";"5";"4660800";"3122";"126";"17,3"
"IND QCAS Y MINERAS TIMBO SA";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"260400";"2903";"3";"18,77"
"INDACOR S A";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"1";"2";"840000";"406";"10";"21,08"
"INDALTEC SA";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"732000";"741";"0";"0"
"INDARAS SOCIEDAD ANONIMA";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"775";"4532";"8";"55,51"
"INDEXPORT MESSE FRANKFURT SA";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"864000";"1355";"9";"136,13"
"INDRA SI S.A.";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"1";"0";"4961";"2";"1,47"
"INDUMOTORA ARGENTINA S.A";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"912000";"2554";"10";"154,85"
"INDUNOR SOCIEDAD ANONIMA";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"292500";"0";"8";"23,63"
"INDURA ARGENTINA SA";"0";"1";"0";"0";"0";"1";"5";"0";"0";"0";"0";"0";"0";"1";"0";"2";"6";"2802000";"560";"26";"25,42"
"INDUSTRIA DEL PLASTICO Y METALURGICA ALB";"0";"0";"1";"0";"0";"0";"4";"0";"0";"0";"0";"0";"1";"0";"0";"1";"4";"2424000";"70";"7";"24,55"
