"RAZON_SOCIAL";"REGION_OTROS";"REGION_CF";"REGION_BSAS";"REGION_DESCONOCIDO";"REGION_CBA";"PROD_DATOS_RPV";"PROD_INTER_DEDICADO";"PROD_DATOS_ENLACE";"PROD_DATOS_LAN_TO_LAN";"PROD_SD_WAN";"MERC_OTROS";"MERC_CORPORATIVO";"MERC_EMPRESAS";"MERC_GRANDES_CLIENTES";"MERC_PYMES";"CANT_PRODUCTOS";"CANT_ENLACES";"FACTURACION_ARS";"DURACION_CLIENTE_DIAS";"INCIDENTES";"TMR"
"AGROFINA S A";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"1";"672000";"441";"1";"139,1"
"AGRONORTE   S.R.L.";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"319200";"606";"5";"9,59"
"AGRUPACION EMPRESARIA PARA SAL";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"268800";"1516";"0";"0"
"AGUA SPARKLING S. A.";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"816000";"6716";"20";"29,58"
"AGUA Y SANEAMIENTOS ARGENTINOSSOCIEDAD A";"0";"1";"0";"0";"0";"16";"3";"0";"1";"0";"1";"0";"0";"0";"0";"3";"20";"14862600";"3444";"777";"111,39"
"AGUAS BONAERENSES SA";"0";"0";"1";"0";"0";"2";"1";"0";"0";"0";"1";"0";"0";"0";"0";"2";"3";"558221,03";"5110";"30";"46,08"
"AGUAS CORDOBESAS SA";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"2";"996000";"627";"9";"37,03"
"AGUAS DE CATAMARCA S.A.P.E.M.";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"390096";"84";"2";"32,02"
"AGUAS DE ORIGEN SA";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"1";"2";"1944000";"229";"0";"0"
"AGUAS DE SANTIAGO S.A";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"456000";"2247";"2";"8,99"
"AGUAS RIOJANAS S.A.P.E.M";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"51660";"689";"0";"0"
"AGUIRRE SILVA ANNI MARYOLI";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"252000";"174";"0";"0"
"AILES SOCIEDAD ANONIMA";"0";"1";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"0";"1";"0";"2";"3";"924000";"508";"4";"87,88"
"AIR LIQUIDE ARGENTINA S.A.";"0";"0";"1";"0";"0";"26";"21";"0";"0";"0";"0";"1";"0";"0";"0";"2";"47";"41788800";"1112";"2764";"229,18"
"AJC INTERNATIONAL SU R S R L";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"2741";"2";"72,73"
